system_id,initial_condition_set,dimension,grid_points,t_start,t_end,rtol,atol,integration_status
20,1,1,512,0.0,10.0,1e-09,1e-09,success
20,2,1,512,0.0,10.0,1e-09,1e-09,success
21,1,1,512,0.0,10.0,1e-09,1e-09,success
21,2,1,512,0.0,10.0,1e-09,1e-09,success
22,1,1,512,0.0,10.0,1e-09,1e-09,success
22,2,1,512,0.0,10.0,1e-09,1e-09,success
23,1,1,512,0.0,10.0,1e-09,1e-09,success
23,2,1,512,0.0,10.0,1e-09,1e-09,success
24,1,2,512,0.0,10.0,1e-09,1e-09,success
24,2,2,512,0.0,10.0,1e-09,1e-09,success
25,1,2,512,0.0,10.0,1e-09,1e-09,success
25,2,2,512,0.0,10.0,1e-09,1e-09,success
26,1,2,512,0.0,10.0,1e-09,1e-09,success
26,2,2,512,0.0,10.0,1e-09,1e-09,success
27,1,2,512,0.0,10.0,1e-09,1e-09,success
27,2,2,512,0.0,10.0,1e-09,1e-09,success
28,1,2,512,0.0,10.0,1e-09,1e-09,success
28,2,2,512,0.0,10.0,1e-09,1e-09,success
29,1,2,512,0.0,10.0,1e-09,1e-09,success
29,2,2,512,0.0,10.0,1e-09,1e-09,success
30,1,2,512,0.0,10.0,1e-09,1e-09,success
30,2,2,512,0.0,10.0,1e-09,1e-09,success
31,1,2,512,0.0,10.0,1e-09,1e-09,success
31,2,2,512,0.0,10.0,1e-09,1e-09,success
32,1,2,512,0.0,10.0,1e-09,1e-09,success
32,2,2,512,0.0,10.0,1e-09,1e-09,success
33,1,2,512,0.0,10.0,1e-09,1e-09,success
33,2,2,512,0.0,10.0,1e-09,1e-09,success
34,1,2,512,0.0,10.0,1e-09,1e-09,success
34,2,2,512,0.0,10.0,1e-09,1e-09,success
35,1,2,512,0.0,10.0,1e-09,1e-09,success
35,2,2,512,0.0,10.0,1e-09,1e-09,success
36,1,2,512,0.0,10.0,1e-09,1e-09,success
36,2,2,512,0.0,10.0,1e-09,1e-09,success
37,1,2,512,0.0,10.0,1e-09,1e-09,success
37,2,2,512,0.0,10.0,1e-09,1e-09,success
38,1,2,512,0.0,10.0,1e-09,1e-09,success
38,2,2,512,0.0,10.0,1e-09,1e-09,success
39,1,2,512,0.0,10.0,1e-09,1e-09,success
39,2,2,512,0.0,10.0,1e-09,1e-09,success
40,1,2,512,0.0,10.0,1e-09,1e-09,success
40,2,2,512,0.0,10.0,1e-09,1e-09,success
41,1,2,512,0.0,10.0,1e-09,1e-09,success
41,2,2,512,0.0,10.0,1e-09,1e-09,success
42,1,2,512,0.0,10.0,1e-09,1e-09,success
42,2,2,512,0.0,10.0,1e-09,1e-09,success
43,1,2,512,0.0,10.0,1e-09,1e-09,success
43,2,2,512,0.0,10.0,1e-09,1e-09,success
44,1,2,512,0.0,10.0,1e-09,1e-09,success
44,2,2,512,0.0,10.0,1e-09,1e-09,success
45,1,2,512,0.0,10.0,1e-09,1e-09,success
45,2,2,512,0.0,10.0,1e-09,1e-09,success
46,1,2,512,0.0,10.0,1e-09,1e-09,success
46,2,2,512,0.0,10.0,1e-09,1e-09,success
47,1,2,512,0.0,10.0,1e-09,1e-09,success
47,2,2,512,0.0,10.0,1e-09,1e-09,success
48,1,2,512,0.0,10.0,1e-09,1e-09,success
48,2,2,512,0.0,10.0,1e-09,1e-09,success
49,1,2,512,0.0,10.0,1e-09,1e-09,success
49,2,2,512,0.0,10.0,1e-09,1e-09,success
50,1,2,512,0.0,10.0,1e-09,1e-09,success
50,2,2,512,0.0,10.0,1e-09,1e-09,success
51,1,2,512,0.0,10.0,1e-09,1e-09,success
51,2,2,512,0.0,10.0,1e-09,1e-09,success
52,1,3,512,0.0,10.0,1e-09,1e-09,success
52,2,3,512,0.0,10.0,1e-09,1e-09,success
53,1,3,512,0.0,10.0,1e-09,1e-09,success
53,2,3,512,0.0,10.0,1e-09,1e-09,success
54,1,3,512,0.0,10.0,1e-09,1e-09,success
54,2,3,512,0.0,10.0,1e-09,1e-09,success
55,1,3,512,0.0,10.0,1e-09,1e-09,success
55,2,3,512,0.0,10.0,1e-09,1e-09,success
56,1,3,512,0.0,10.0,1e-09,1e-09,success
56,2,3,512,0.0,10.0,1e-09,1e-09,success
57,1,3,512,0.0,10.0,1e-09,1e-09,success
57,2,3,512,0.0,10.0,1e-09,1e-09,success
58,1,3,512,0.0,10.0,1e-09,1e-09,success
58,2,3,512,0.0,10.0,1e-09,1e-09,success
59,1,3,512,0.0,10.0,1e-09,1e-09,success
59,2,3,512,0.0,10.0,1e-09,1e-09,success
60,1,3,512,0.0,10.0,1e-09,1e-09,success
60,2,3,512,0.0,10.0,1e-09,1e-09,success
61,1,3,512,0.0,10.0,1e-09,1e-09,success
61,2,3,512,0.0,10.0,1e-09,1e-09,success
62,1,4,512,0.0,10.0,1e-09,1e-09,success
62,2,4,512,0.0,10.0,1e-09,1e-09,success
63,1,4,512,0.0,10.0,1e-09,1e-09,success
63,2,4,512,0.0,10.0,1e-09,1e-09,success
