system_id,initial_condition_set,dimension,grid_points,t_start,t_end,truth_trajectory_source,hash_format,time_sha256,state_sha256,hash_verified
7,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,5346234c0485db3d1ef11289464a0bc97a2ae7ebb3b13c742ddcda333b9a81c6,True
7,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,37382ca27f1ff42237cab6a629eaab2a8b53a3fe6fee3e97360c6a863b61e7a8,True
8,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,2b69ca839bdb926ba833c061f64217c625040c43315417053cca3d235f10e059,True
8,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,2d5286c6c4748e3515190d92b577c3ca122911f4582b87a26000f636501df908,True
9,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,b683606907329b3b664416a4d0fbcb360d9b55a73cdbfcb25fbf3c7a8af878f2,True
9,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,db3a2be1a9808f2dec4c6c5b77ff7c59495a14114e8f0320802d562f44b2c2ea,True
10,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,295dc6d49956abaca2213ad14e2f1010b32bf98763aa7f7cd8ef8cb3d01810df,True
10,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,f3238d1f17a0fadb2d5824589d3d43984919cfd5c279f163882c886607c122d0,True
11,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,cdc13858122785454f6151a9501ad6371cdf981cbe371f76125ca52d6fd250b4,True
11,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,0e152754f68b3dc29b226238769ff02dfeb4845df1be84ebd6b0999f881db5df,True
12,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,9464d56b1a1aeda4204bd5f831a8f5436b1541a2ae4ed255433d7b2423623841,True
12,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,23ec22839f2f22bf501bc68829d7fa906ef2a708445ba2545da9114f83909c17,True
13,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,dce17ae6c1baa2eaff49baaaaaed95f78e343c40eb9ec9007866d782f2ad7b2c,True
13,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,b22329e190aabb06fad4b3f76636c06a8b5495175e6b904d872bb06791552e26,True
14,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,3111835c8af4269efecee8bc23e36b02d152adf0c2fe94b243b87ab46b7c31a4,True
14,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,c4f18da0d949ea205a8e871f2a8cf7ff11e8fbf01f7e9133549201108d1ea6a8,True
15,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,44377149fd0e068b0febbcf4a2ad331eeba249710e2672f98c94c3d7d4fc2f75,True
15,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,5e2e24d5df10731defc886e69c90ef19ea7694caf456523e5e59b862ceb73354,True
16,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,6e5154b224b6bb2ef9e7fcc692f44210c6c50b4df2f205e45f97589a650a2da0,True
16,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,8f779de3376578c0176392b2400c97697c1e66aca7d8684b11f5951d7466e7b9,True
17,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,4756e9cb1aad3ac5698d8e2380b106c5d6c6e7fdcf482d06e53c8d5c19d6d4f0,True
17,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,4ce0eea86a7d476d182bfbfc499fa992cd72e05a8c7952b7ee4aca56d8f1103b,True
18,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,c3bb30ba39bf3e305584b0d1aea07b2b4002b103e73883281a6fa0b3c22f4b71,True
18,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,4d70a813ea95765d2669fb59f522d82cd17df5800f110eb109c1794d1d8d1f6f,True
19,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,84347a8796790bb80039e0838a87268da011f7172cff6471f4ae3bfeda4274e5,True
19,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,951b57a6c3b96910e3f9e3615e90014f9818caf070c95bd555fc632e894389ab,True
20,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,e18be7de813fa51f25aba6cc67ba20d399b5b66645395338c50e29ede1bb2258,True
20,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,942ea5b4da8424e7167b3920019cc10f997088dac67bb6f76e7121696668c1cc,True
21,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,db970a19cdb2e76437eeb7d63c1175656e29079f1ad610b01faf253a15d685c5,True
21,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,9b0821504f0cb433398fe2b78c754bdbec83d14d689a9630b50d5faa1fbbd561,True
22,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,bc80e9b8dc6f30e112d5647bdb823fb9166141d489fc6f2eba8d8d90ddb74c21,True
22,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,820377ffd358d7b07e0078077fed5280676ae9da4b6d281ae93254d26c176012,True
23,1,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,23439dcce1325c814f14af6cdb1b359c5c73aaff830ee17a7b36e647ea5e5830,True
23,2,1,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,ad928dbfb7a9dea663c07b6844b5ee6c1584d6359f63ae1202ba376f02154491,True
24,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,7a0cb065a725ce6f96bb42f2513fe021f726e088c0090ed0db0b96fbcf902391,True
24,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,33ed2a81e4f4e66426a0dc51832715f1c58dce189922fbe2014a3b0a2920f08c,True
25,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,a7dceadbe022cc4ee282ada4fa0da21a10871e46887dc09f15ddfcd413760e52,True
25,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,99bf42da31a6c29b1e47aedb5b323b84b8cfc5ca33584d07ae772bec9f0c2349,True
26,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,f6d3ae3e04b3230a1f565ad8369ebb166ef052fb0929f2a208013935246a327d,True
26,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,2b0b9d3bee6e268ae51b85313da38d2024fcc464b242ac7c1a62e9ec15b08c9f,True
27,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,8e397c0a0e10c1af32d8c1271f0d082edbd6f1f9f6a8199f27bc9b012e2a99e3,True
27,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,1924b11ad9cc3f14a58c59652af51911d9eb547ea7cc16e82b46ccd4ba4ea717,True
28,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,db6505ac3c4858e6784210d5a65988709c2922b167a0bbdac4de5ef01f7b75a1,True
28,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,cd1984c237edb4621aeaa1bb4fc0c2d684c0863053ea86fff62b5cfa83751d4a,True
29,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,822cec6dfe225bd940e8ccf42dd975b850022b4b943e102fbaeb71f002f03f65,True
29,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,f4d9d5e00c481855196197ce0bcce07ab81f95f576d0a9d61af472818b236eab,True
30,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,be56d1a1c0f8ca923b02c6672b8d4e931a9c1a39a6b359b1f7b3af50f439a643,True
30,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,d7609aa418e5acc567633eb3e87ff6108ae83927d6d475bbf4b9bd885742bbfa,True
31,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,9da092858c971ab0dd92fc3591efacc6d64a01cd5807018f5f8880a7f2c37cd0,True
31,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,a8940691d41394980a6a66709e71b0024bc760e247d8245aff0dc6a21c8f5320,True
32,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,e71d9da3348a5cfd7f351f23896df3e3f40c9a70dcb268285ab6242c057a5e6b,True
32,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,f896099628b573e9a345f4b4199d5fcfc1f5062b8e48ba7b23fb9d1df084110e,True
33,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,4a4737f04d81e59996d7d0f417290938eef08c2b90abebba0b739bb8506d6073,True
33,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,8d455b69c1cc4edd1f9ccead5b26a6289ce7fa1f88f35fe0277009deee1f5f6f,True
34,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,c591174b487a96a12a6d8f09946bd57da19e238b837ca2d021aec8e0e906f013,True
34,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,b1a03ae3c6b7e8cf7617e09aa6e7be052cb06a43313ced1038a16b304d0bc37b,True
35,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,2e177f96bf96d59d6c78a30e28b70aa67a8f7050156e4985071d650b63291667,True
35,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,0cb8338c2f3e51c6c7887c176f4008e6f781a9d95f9f65ddeb7d06e44ccd2dfd,True
36,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,8c45b194ab0d345d546710765721698ab78c258d6984eb6e007967dbc22ecceb,True
36,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,cb8f55e7476390fecd9e6e42b057aef5956d04ece03d2cc2fd0be05b8c5cf05a,True
37,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,9db6c79103b98aaef78e6404a6aa526b12af1245d6924529518721f0b0ffafd2,True
37,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,8872f3e6aa0f9782e65b50a9b881a53a853756c392f0d8a93a78f606106e6422,True
38,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,3c0888d3c690c652c0b2e114db7f23fb9850b6ef2ce61c9509e866879ec823ec,True
38,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,9e6c9b57c0eec22fdeb99e43f8df155434283e5ca1c143e3118d4394d13dbfe2,True
39,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,efa4d409369afb271c7f3b091121f6deea9b8fa93d3ab4f597d3423bb5b8b2ca,True
39,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,56d728e0a27d53a5dde0d276e689e1816cf4f0b39ac5e91289e93a5fe2397564,True
40,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,1493e5a1f8583385b980deea8ec96febb6246387c1ea8d74811ccd940dfcfc8d,True
40,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,1d543b8ae19ba2d3841b411434e259a9390d1245bb234c95f1ee624c0f1ffa1c,True
41,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,42832cdb377069085ea6c5fe50c2acde55dae8caeb4aa175968cc61cd540870f,True
41,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,0d5beea10293a02a60a94d0461e17f9dc8b9642314709ee372c273467c75566a,True
42,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,e9dbb48df5c38ee7b7957333cd0b0ab78a2ac7470511571bc0adbd2ee148b782,True
42,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,b022a369ff850d65bd25d706612f7637d729b782153e1542620b4f2e6fcbade7,True
43,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,40af7305c0c7c18152b589b624bbf8a15d2d60f92d6a4b94e27ee78531ae6f23,True
43,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,d82d4af218a2e2bca5e6c5a5bef6967131b3a16fd9803c2f36a51cd285a46029,True
44,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,a8f93f2bffc21d4c5e328ce317be352a68005a2fb0658709cbb6ebcf9bf5b8ce,True
44,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,7dc1fc2733c9499878278cf3c3ba1b98835c3629800d85ae00093267ea7f3ee3,True
45,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,0fcfdcecadaa955625fd30e7de2ddc219b8521f1b19f393f418de97318ad9f79,True
45,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,6e72d9f43ca70b1962546789537c32db7f250d1a3470d0240d385c019326641b,True
46,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,83a043fa1f02b3e084b547a2527b2969328dfb8c242dbbf671d4641eb954cf6c,True
46,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,ea082cc1fd989e07f4b6d79e2493244c661fc08fb5def248acbb31b732350f6b,True
47,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,c8a09713ba27fe455d4457042f46fe08dfcb13df2cf00df99453431a014c3c74,True
47,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,6551674147bde9f49eaf3dc92b4add58f7ebac41ededf1e5398cbdfab86b17b7,True
48,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,4e31bc899b9859a12edfbaf21b532a4aa60db0451eac3e2c91a08de239881eca,True
48,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,99f7ca390e83ff6c0f0764091722f2cbc186de2dcea7f4fccf8683db0a6d8f9f,True
49,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,dc491f503987a85ba3980af0f16cef67cd9549b6caab1722c9fb1f19df86fa32,True
49,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,ed97f707a11a14043bb7e30a6f13b9b513d02e369e75e3c6053ceb4907834916,True
50,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,1a4fbebd572a08699b3fae64007c32cfcfcdb8873fa267d10ed4fa6bc0322fbb,True
50,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,e79102ed82ea0bc4566ac1fb44b4eb8a2b4e9945b24732d5ea8879cdc35fe199,True
51,1,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,e5f2789da1760f89625e8233362eee5b385ed83dab97c294d85a87c85aacd3d6,True
51,2,2,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,5b4cc9577c08fdae6d7d352d65a9f594b94c464536ebb6a73427a263cdbdb301,True
52,1,3,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,88e74aa50cb078f28d92cfd1f3bd61d684e54c07f13a3c732a1218e39cc74674,True
52,2,3,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,e6125403daf636e9b2ddc7ac67ad4a266415d6ee519c277067159218f6e27c69,True
53,1,3,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,e11346ca8c213a22374548e93aa8cc3d2ec9af7e51b7b8142f02a459aee90b38,True
53,2,3,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,0d69ef8679622921a8e696fd2dfbf7bee6894628f419cd3d48e592e310a1bf42,True
54,1,3,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,c3f821ba213a31e637437e1b75bc79ee56d234438524d86cc808c591900550a6,True
54,2,3,512,0.0,10.0,campaign_export,sha256_raw_little_endian_float64,ffad3499269c08c6bd22e9e5c5d2ab32bbf827e2037cbdd6e73571aeab04432f,0e462496560df0f27d7f9b60ee0013a8a875ce2f443905fc16a4a2341a0165c8,True
