system_id,dim,description,equation_index,equation,representability,expected_stage,expected_eq_stage,matched_basis_terms,unmatched_terms,gap_reason,source,substituted_sets_identical,n_substituted_sets,variable_mapping
20,1,Autocatalytic gene switching (dimensionless),1,x_0**2/(x_0**2 + 1) - 0.55*x_0 + 0.1,surrogate,,,u1,u1^2/(u1^2 + 1) [unsupported_power]|0.100000000000000 [constant_offset],constant_offset|unsupported_power,strogatz p.91,true,1,x_0->u1
21,1,Dimensionally reduced SIR infection model for dead people (dimensionless),1,-0.2*x_0 + 1.2 - exp(-x_0),surrogate,,,u1,1.20000000000000 [constant_offset]|-exp(-u1) [unsupported_function],constant_offset|unsupported_function,strogatz p.92,true,1,x_0->u1
22,1,"Hysteretic activation of a protein expression (positive feedback, basal promoter expression)",1,0.4*x_0**5/(x_0**5 + 123.0) - 0.89*x_0 + 1.4,surrogate,,,u1,0.4*u1^5/(u1^5 + 123.0) [unsupported_power]|1.40000000000000 [constant_offset],constant_offset|unsupported_power,strogatz p.93,true,1,x_0->u1
23,1,Overdamped pendulum with constant driving torque/fireflies/Josephson junction (dimensionless),1,0.21 - sin(x_0),surrogate,,,sin(u1),0.210000000000000 [constant_offset],constant_offset,strogatz p.104,true,1,x_0->u1
24,2,Harmonic oscillator without damping,1,x_1,exact,1,1,u2,,,strogatz p.126,true,1,x_0->u1; x_1->u2
24,2,Harmonic oscillator without damping,2,-2.1*x_0,exact,1,1,u1,,,strogatz p.126,true,1,x_0->u1; x_1->u2
25,2,Harmonic oscillator with damping,1,x_1,exact,1,1,u2,,,strogatz p.144,true,1,x_0->u1; x_1->u2
25,2,Harmonic oscillator with damping,2,-4.5*x_0 - 0.43*x_1,exact,1,1,u1|u2,,,strogatz p.144,true,1,x_0->u1; x_1->u2
26,2,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),1,x_0*(-x_0 - 2.0*x_1 + 3.0),exact,3,3,u1|u1^2|u1*u2,,,strogatz p.157,true,1,x_0->u1; x_1->u2
26,2,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),2,x_1*(-x_0 - x_1 + 2.0),exact,3,3,u2|u2^2|u1*u2,,,strogatz p.157,true,1,x_0->u1; x_1->u2
27,2,Lotka-Volterra simple (as on Wikipedia),1,x_0*(1.84 - 1.45*x_1),exact,3,3,u1|u1*u2,,,https://en.wikipedia.org/wiki/Lotka-Volterra_equations,true,1,x_0->u1; x_1->u2
27,2,Lotka-Volterra simple (as on Wikipedia),2,-x_1*(3.0 - 1.62*x_0),exact,3,3,u2|u1*u2,,,https://en.wikipedia.org/wiki/Lotka-Volterra_equations,true,1,x_0->u1; x_1->u2
28,2,Pendulum without friction,1,x_1,exact,5,1,u2,,,strogatz p.169,true,1,x_0->u1; x_1->u2
28,2,Pendulum without friction,2,-0.9*sin(x_0),exact,5,5,sin(u1),,,strogatz p.169,true,1,x_0->u1; x_1->u2
29,2,Dipole fixed point,1,0.65*x_0*x_1,exact,3,3,u1*u2,,,strogatz p.181,true,1,x_0->u1; x_1->u2
29,2,Dipole fixed point,2,-x_0**2 + x_1**2,exact,3,2,u1^2|u2^2,,,strogatz p.181,true,1,x_0->u1; x_1->u2
30,2,RNA molecules catalyzing each others replication,1,x_0*(-1.61*x_0*x_1 + x_1),surrogate,,,u1*u2,u1^2*u2 [mixed_higher_order_term],mixed_higher_order_term,strogatz p.187,true,1,x_0->u1; x_1->u2
30,2,RNA molecules catalyzing each others replication,2,x_1*(-1.61*x_0*x_1 + x_0),surrogate,,,u1*u2,u1*u2^2 [mixed_higher_order_term],mixed_higher_order_term,strogatz p.187,true,1,x_0->u1; x_1->u2
31,2,SIR infection model only for healthy and sick,1,-0.4*x_0*x_1,exact,3,3,u1*u2,,,strogatz p.188,true,1,x_0->u1; x_1->u2
31,2,SIR infection model only for healthy and sick,2,0.4*x_0*x_1 - 0.314*x_1,exact,3,3,u2|u1*u2,,,strogatz p.188,true,1,x_0->u1; x_1->u2
32,2,Damped double well oscillator,1,x_1,exact,4,1,u2,,,strogatz p.190,true,1,x_0->u1; x_1->u2
32,2,Damped double well oscillator,2,-x_0**3 + x_0 - 0.18*x_1,exact,4,4,u1|u2|u1^3,,,strogatz p.190,true,1,x_0->u1; x_1->u2
33,2,Glider (dimensionless),1,-0.08*x_0**2 - sin(x_1),surrogate,,5,u1^2|sin(u2),,,strogatz p.190,true,1,x_0->u1; x_1->u2
33,2,Glider (dimensionless),2,x_0 - cos(x_1)/x_0,surrogate,,,u1,-cos(u2)/u1 [unsupported_function],unsupported_function,strogatz p.190,true,1,x_0->u1; x_1->u2
34,2,Frictionless bead on a rotating hoop (dimensionless),1,x_1,surrogate,,1,u2,,,strogatz p.191,true,1,x_0->u1; x_1->u2
34,2,Frictionless bead on a rotating hoop (dimensionless),2,(cos(x_0) - 0.93)*sin(x_0),surrogate,,,sin(u1),sin(u1)*cos(u1) [unsupported_function],unsupported_function,strogatz p.191,true,1,x_0->u1; x_1->u2
35,2,Rotational dynamics of an object in a shear flow,1,cos(x_0)*cot(x_1),surrogate,,,,cos(u1)*cot(u2) [unsupported_function],unsupported_function,strogatz p.194,true,1,x_0->u1; x_1->u2
35,2,Rotational dynamics of an object in a shear flow,2,(4.2*sin(x_1)**2 + cos(x_1)**2)*sin(x_0),surrogate,,,,4.2*sin(u1)*sin(u2)^2 [unsupported_function]|sin(u1)*cos(u2)^2 [unsupported_function],unsupported_function,strogatz p.194,true,1,x_0->u1; x_1->u2
36,2,"Pendulum with non-linear damping, no driving (dimensionless)",1,x_1,surrogate,,1,u2,,,strogatz p.195,true,1,x_0->u1; x_1->u2
36,2,"Pendulum with non-linear damping, no driving (dimensionless)",2,-0.07*x_1*cos(x_0) - x_1 - sin(x_0),surrogate,,,u2|sin(u1),-0.07*u2*cos(u1) [unsupported_function],unsupported_function,strogatz p.195,true,1,x_0->u1; x_1->u2
37,2,Van der Pol oscillator (standard form),1,x_1,surrogate,,1,u2,,,strogatz p.200,true,1,x_0->u1; x_1->u2
37,2,Van der Pol oscillator (standard form),2,-x_0 - 0.43*x_1*(x_0**2 - 1),surrogate,,,u1|u2,u1^2*u2 [mixed_higher_order_term],mixed_higher_order_term,strogatz p.200,true,1,x_0->u1; x_1->u2
38,2,Van der Pol oscillator (simplified form from Strogatz),1,-1.12333333333333*x_0**3 + 3.37*x_0 + 3.37*x_1,exact,4,4,u1|u2|u1^3,,,strogatz p.214,true,1,x_0->u1; x_1->u2
38,2,Van der Pol oscillator (simplified form from Strogatz),2,-0.29673590504451*x_0,exact,4,1,u1,,,strogatz p.214,true,1,x_0->u1; x_1->u2
39,2,"Glycolytic oscillator, e.g., ADP and F6P in yeast (dimensionless)",1,x_0**2*x_1 - x_0 + 2.4*x_1,surrogate,,,u1|u2,u1^2*u2 [mixed_higher_order_term],mixed_higher_order_term,strogatz p.207,true,1,x_0->u1; x_1->u2
39,2,"Glycolytic oscillator, e.g., ADP and F6P in yeast (dimensionless)",2,-x_0**2*x_1 - 2.4*x_0 + 0.07,surrogate,,,u1,u1^2*u2 [mixed_higher_order_term]|0.0700000000000000 [constant_offset],constant_offset|mixed_higher_order_term,strogatz p.207,true,1,x_0->u1; x_1->u2
40,2,Duffing equation (weakly non-linear oscillation),1,x_1,surrogate,,1,u2,,,strogatz p.217,true,1,x_0->u1; x_1->u2
40,2,Duffing equation (weakly non-linear oscillation),2,-x_0 + 0.886*x_1*(1 - x_0**2),surrogate,,,u1|u2,u1^2*u2 [mixed_higher_order_term],mixed_higher_order_term,strogatz p.217,true,1,x_0->u1; x_1->u2
41,2,Cell cycle model by Tyson for interaction between protein cdc2 and cyclin (dimensionless),1,-x_0 + 15.3*(-x_0 + x_1)*(x_0**2 + 0.001),surrogate,,,u1|u2|u1^3,u1^2*u2 [mixed_higher_order_term],mixed_higher_order_term,strogatz p.238,true,1,x_0->u1; x_1->u2
41,2,Cell cycle model by Tyson for interaction between protein cdc2 and cyclin (dimensionless),2,0.3 - x_0,surrogate,,,u1,0.300000000000000 [constant_offset],constant_offset,strogatz p.238,true,1,x_0->u1; x_1->u2
42,2,Reduced model for chlorine dioxide-iodine-malonic acid rection (dimensionless),1,-4.0*x_0*x_1/(x_0**2 + 1) - x_0 + 8.9,surrogate,,,u1,-4.0*u1*u2/(u1^2 + 1) [unsupported_power]|8.90000000000000 [constant_offset],constant_offset|unsupported_power,strogatz p.260,true,1,x_0->u1; x_1->u2
42,2,Reduced model for chlorine dioxide-iodine-malonic acid rection (dimensionless),2,1.4*x_0*(-x_1/(x_0**2 + 1) + 1),surrogate,,,u1,-1.4*u1*u2/(u1^2 + 1) [unsupported_power],unsupported_power,strogatz p.260,true,1,x_0->u1; x_1->u2
43,2,Driven pendulum with linear damping / Josephson junction (dimensionless),1,x_1,surrogate,,1,u2,,,strogatz p.269,true,1,x_0->u1; x_1->u2
43,2,Driven pendulum with linear damping / Josephson junction (dimensionless),2,-0.64*x_1 - sin(x_0) + 1.67,surrogate,,,u2|sin(u1),1.67000000000000 [constant_offset],constant_offset,strogatz p.269,true,1,x_0->u1; x_1->u2
44,2,Driven pendulum with quadratic damping (dimensionless),1,x_1,surrogate,,1,u2,,,strogatz p.300,true,1,x_0->u1; x_1->u2
44,2,Driven pendulum with quadratic damping (dimensionless),2,-0.64*x_1*Abs(x_1) - sin(x_0) + 1.67,surrogate,,,sin(u1),-0.64*u2*Abs(u2) [unsupported_function]|1.67000000000000 [constant_offset],constant_offset|unsupported_function,strogatz p.300,true,1,x_0->u1; x_1->u2
45,2,Isothermal autocatalytic reaction model by Gray and Scott 1985 (dimensionless),1,-x_0*x_1**2 - 0.5*x_0 + 0.5,surrogate,,,u1,u1*u2^2 [mixed_higher_order_term]|0.500000000000000 [constant_offset],constant_offset|mixed_higher_order_term,strogatz p.288,true,1,x_0->u1; x_1->u2
45,2,Isothermal autocatalytic reaction model by Gray and Scott 1985 (dimensionless),2,x_0*x_1**2 - 0.02*x_1,surrogate,,,u2,u1*u2^2 [mixed_higher_order_term],mixed_higher_order_term,strogatz p.288,true,1,x_0->u1; x_1->u2
46,2,Interacting bar magnets,1,-sin(x_0) + 0.33*sin(x_0 - x_1),surrogate,,,sin(u1),0.33*sin(u1 - u2) [unsupported_trigonometric_argument],unsupported_trigonometric_argument,strogatz p.289,true,1,x_0->u1; x_1->u2
46,2,Interacting bar magnets,2,-sin(x_1) - 0.33*sin(x_0 - x_1),surrogate,,,sin(u2),-0.33*sin(u1 - u2) [unsupported_trigonometric_argument],unsupported_trigonometric_argument,strogatz p.289,true,1,x_0->u1; x_1->u2
47,2,Binocular rivalry model (no oscillations),1,-x_0 + 1/(0.246596963941606*exp(4.89*x_1) + 1),surrogate,,,u1,1/(0.246596963941606*exp(4.89*u2) + 1) [unsupported_function],unsupported_function,strogatz p.290,true,1,x_0->u1; x_1->u2
47,2,Binocular rivalry model (no oscillations),2,-x_1 + 1/(0.246596963941606*exp(4.89*x_0) + 1),surrogate,,,u2,1/(0.246596963941606*exp(4.89*u1) + 1) [unsupported_function],unsupported_function,strogatz p.290,true,1,x_0->u1; x_1->u2
48,2,Bacterial respiration model for nutrients and oxygen levels,1,-x_0*x_1/(0.48*x_0**2 + 1) - x_0 + 18.3,surrogate,,,u1,-u1*u2/(0.48*u1^2 + 1) [unsupported_power]|18.3000000000000 [constant_offset],constant_offset|unsupported_power,strogatz p.293,true,1,x_0->u1; x_1->u2
48,2,Bacterial respiration model for nutrients and oxygen levels,2,-x_0*x_1/(0.48*x_0**2 + 1) + 11.23,surrogate,,,,-u1*u2/(0.48*u1^2 + 1) [unsupported_power]|11.2300000000000 [constant_offset],constant_offset|unsupported_power,strogatz p.293,true,1,x_0->u1; x_1->u2
49,2,Brusselator: hypothetical chemical oscillation model (dimensionless),1,3.1*x_0**2*x_1 - 4.03*x_0 + 1,surrogate,,,u1,u1^2*u2 [mixed_higher_order_term]|1 [constant_offset],constant_offset|mixed_higher_order_term,strogatz p.296,true,1,x_0->u1; x_1->u2
49,2,Brusselator: hypothetical chemical oscillation model (dimensionless),2,-3.1*x_0**2*x_1 + 3.03*x_0,surrogate,,,u1,u1^2*u2 [mixed_higher_order_term],mixed_higher_order_term,strogatz p.296,true,1,x_0->u1; x_1->u2
50,2,Chemical oscillator model by Schnackenberg 1979 (dimensionless),1,x_0**2*x_1 - x_0 + 0.24,surrogate,,,u1,u1^2*u2 [mixed_higher_order_term]|0.240000000000000 [constant_offset],constant_offset|mixed_higher_order_term,strogatz p.296,true,1,x_0->u1; x_1->u2
50,2,Chemical oscillator model by Schnackenberg 1979 (dimensionless),2,-x_0**2*x_1 + 1.43,surrogate,,,,u1^2*u2 [mixed_higher_order_term]|1.43000000000000 [constant_offset],constant_offset|mixed_higher_order_term,strogatz p.296,true,1,x_0->u1; x_1->u2
51,2,Oscillator death model by Ermentrout and Kopell 1990,1,sin(x_1)*cos(x_0) + 1.432,surrogate,,,,sin(u2)*cos(u1) [unsupported_function]|1.43200000000000 [constant_offset],constant_offset|unsupported_function,strogatz p.301,true,1,x_0->u1; x_1->u2
51,2,Oscillator death model by Ermentrout and Kopell 1990,2,sin(x_1)*cos(x_0) + 0.972,surrogate,,,,sin(u2)*cos(u1) [unsupported_function]|0.972000000000000 [constant_offset],constant_offset|unsupported_function,strogatz p.301,true,1,x_0->u1; x_1->u2
52,3,Maxwell-Bloch equations (laser dynamics),1,-0.1*x_0 + 0.1*x_1,surrogate,,1,u1|u2,,,strogatz p.82,true,1,x_0->u1; x_1->u2; x_2->u3
52,3,Maxwell-Bloch equations (laser dynamics),2,0.21*x_0*x_2 - 0.21*x_1,surrogate,,3,u2|u1*u3,,,strogatz p.82,true,1,x_0->u1; x_1->u2; x_2->u3
52,3,Maxwell-Bloch equations (laser dynamics),3,-1.054*x_0*x_1 - 0.34*x_2 + 1.394,surrogate,,,u3|u1*u2,1.39400000000000 [constant_offset],constant_offset,strogatz p.82,true,1,x_0->u1; x_1->u2; x_2->u3
53,3,Model for apoptosis (cell death),1,-0.4*x_0*x_1/(x_0 + 0.1) - 0.05*x_0 + 0.1,surrogate,,,u1,-0.4*u1*u2/(u1 + 0.1) [unsupported_power]|0.100000000000000 [constant_offset],constant_offset|unsupported_power,https://epubs.siam.org/doi/10.1137/20M1318043,true,1,x_0->u1; x_1->u2; x_2->u3
53,3,Model for apoptosis (cell death),2,-7.95*x_0*x_1/(x_1 + 2.0) - 0.2*x_1/(x_1 + 0.1) + 0.6*x_2*(x_1 + 0.1),surrogate,,,u3|u2*u3,-7.95*u1*u2/(u2 + 2.0) [unsupported_power]|-0.2*u2/(u2 + 0.1) [unsupported_power],unsupported_power,https://epubs.siam.org/doi/10.1137/20M1318043,true,1,x_0->u1; x_1->u2; x_2->u3
53,3,Model for apoptosis (cell death),3,7.95*x_0*x_1/(x_1 + 2.0) + 0.2*x_1/(x_1 + 0.1) - 0.6*x_2*(x_1 + 0.1),surrogate,,,u3|u2*u3,7.95*u1*u2/(u2 + 2.0) [unsupported_power]|0.2*u2/(u2 + 0.1) [unsupported_power],unsupported_power,https://epubs.siam.org/doi/10.1137/20M1318043,true,1,x_0->u1; x_1->u2; x_2->u3
54,3,Lorenz equations in well-behaved periodic regime,1,-5.1*x_0 + 5.1*x_1,exact,3,1,u1|u2,,,strogatz p.319,true,1,x_0->u1; x_1->u2; x_2->u3
54,3,Lorenz equations in well-behaved periodic regime,2,-x_0*x_2 + 12.0*x_0 - x_1,exact,3,3,u1|u2|u1*u3,,,strogatz p.319,true,1,x_0->u1; x_1->u2; x_2->u3
54,3,Lorenz equations in well-behaved periodic regime,3,x_0*x_1 - 1.67*x_2,exact,3,3,u3|u1*u2,,,strogatz p.319,true,1,x_0->u1; x_1->u2; x_2->u3
55,3,Lorenz equations in complex periodic regime,1,-10.0*x_0 + 10.0*x_1,exact,3,1,u1|u2,,,strogatz p.319,true,1,x_0->u1; x_1->u2; x_2->u3
55,3,Lorenz equations in complex periodic regime,2,-x_0*x_2 + 99.96*x_0 - x_1,exact,3,3,u1|u2|u1*u3,,,strogatz p.319,true,1,x_0->u1; x_1->u2; x_2->u3
55,3,Lorenz equations in complex periodic regime,3,x_0*x_1 - 2.66666666666667*x_2,exact,3,3,u3|u1*u2,,,strogatz p.319,true,1,x_0->u1; x_1->u2; x_2->u3
56,3,Lorenz equations standard parameters (chaotic),1,-10.0*x_0 + 10.0*x_1,exact,3,1,u1|u2,,,strogatz p.319,true,1,x_0->u1; x_1->u2; x_2->u3
56,3,Lorenz equations standard parameters (chaotic),2,-x_0*x_2 + 28.0*x_0 - x_1,exact,3,3,u1|u2|u1*u3,,,strogatz p.319,true,1,x_0->u1; x_1->u2; x_2->u3
56,3,Lorenz equations standard parameters (chaotic),3,x_0*x_1 - 2.66666666666667*x_2,exact,3,3,u3|u1*u2,,,strogatz p.319,true,1,x_0->u1; x_1->u2; x_2->u3
57,3,Rössler attractor (stable fixed point),1,-5.0*x_1 - 5.0*x_2,surrogate,,1,u2|u3,,,https://en.wikipedia.org/wiki/Rössler_attractor,true,1,x_0->u1; x_1->u2; x_2->u3
57,3,Rössler attractor (stable fixed point),2,5.0*x_0 - 1.0*x_1,surrogate,,1,u1|u2,,,https://en.wikipedia.org/wiki/Rössler_attractor,true,1,x_0->u1; x_1->u2; x_2->u3
57,3,Rössler attractor (stable fixed point),3,5.0*x_2*(x_0 - 5.7) + 1.0,surrogate,,,u3|u1*u3,1.00000000000000 [constant_offset],constant_offset,https://en.wikipedia.org/wiki/Rössler_attractor,true,1,x_0->u1; x_1->u2; x_2->u3
58,3,Rössler attractor (periodic),1,-5.0*x_1 - 5.0*x_2,surrogate,,1,u2|u3,,,https://en.wikipedia.org/wiki/Rössler_attractor,true,1,x_0->u1; x_1->u2; x_2->u3
58,3,Rössler attractor (periodic),2,5.0*x_0 + 0.5*x_1,surrogate,,1,u1|u2,,,https://en.wikipedia.org/wiki/Rössler_attractor,true,1,x_0->u1; x_1->u2; x_2->u3
58,3,Rössler attractor (periodic),3,5.0*x_2*(x_0 - 5.7) + 1.0,surrogate,,,u3|u1*u3,1.00000000000000 [constant_offset],constant_offset,https://en.wikipedia.org/wiki/Rössler_attractor,true,1,x_0->u1; x_1->u2; x_2->u3
59,3,Rössler attractor (chaotic),1,-5.0*x_1 - 5.0*x_2,surrogate,,1,u2|u3,,,https://en.wikipedia.org/wiki/Rössler_attractor,true,1,x_0->u1; x_1->u2; x_2->u3
59,3,Rössler attractor (chaotic),2,5.0*x_0 + 1.0*x_1,surrogate,,1,u1|u2,,,https://en.wikipedia.org/wiki/Rössler_attractor,true,1,x_0->u1; x_1->u2; x_2->u3
59,3,Rössler attractor (chaotic),3,5.0*x_2*(x_0 - 5.7) + 1.0,surrogate,,,u3|u1*u3,1.00000000000000 [constant_offset],constant_offset,https://en.wikipedia.org/wiki/Rössler_attractor,true,1,x_0->u1; x_1->u2; x_2->u3
60,3,Aizawa attractor (chaotic),1,x_0*(x_2 - 0.7) - 3.5*x_1,surrogate,,3,u1|u2|u1*u3,,,https://analogparadigm.com/downloads/alpaca_17.pdf,true,1,x_0->u1; x_1->u2; x_2->u3
60,3,Aizawa attractor (chaotic),2,3.5*x_0 + x_1*(x_2 - 0.7),surrogate,,3,u1|u2|u2*u3,,,https://analogparadigm.com/downloads/alpaca_17.pdf,true,1,x_0->u1; x_1->u2; x_2->u3
60,3,Aizawa attractor (chaotic),3,0.1*x_0**3*x_2 - 0.333333333333333*x_2**3 + 0.95*x_2 - (x_0**2 + x_1**2)*(0.25*x_2 + 1) + 0.65,surrogate,,,u3|u1^2|u2^2|u3^3,u1^3*u3 [mixed_higher_order_term]|u1^2*u3 [mixed_higher_order_term]|u2^2*u3 [mixed_higher_order_term]|0.650000000000000 [constant_offset],constant_offset|mixed_higher_order_term,https://analogparadigm.com/downloads/alpaca_17.pdf,true,1,x_0->u1; x_1->u2; x_2->u3
61,3,Chen-Lee attractor; system for gyro motion with feedback control of rigid body (chaotic),1,5.0*x_0 - x_1*x_2,exact,3,3,u1|u2*u3,,,https://doi.org/10.1016/j.chaos.2003.12.034,true,1,x_0->u1; x_1->u2; x_2->u3
61,3,Chen-Lee attractor; system for gyro motion with feedback control of rigid body (chaotic),2,x_0*x_2 - 10.0*x_1,exact,3,3,u2|u1*u3,,,https://doi.org/10.1016/j.chaos.2003.12.034,true,1,x_0->u1; x_1->u2; x_2->u3
61,3,Chen-Lee attractor; system for gyro motion with feedback control of rigid body (chaotic),3,0.333333333333333*x_0*x_1 - 3.8*x_2,exact,3,3,u3|u1*u2,,,https://doi.org/10.1016/j.chaos.2003.12.034,true,1,x_0->u1; x_1->u2; x_2->u3
62,4,Binocular rivalry model with adaptation (oscillations),1,-x_0 + 1/(0.246596963941606*exp(0.4*x_1 + 0.89*x_2) + 1),surrogate,,,u1,1/(0.246596963941606*exp(0.4*u2)*exp(0.89*u3) + 1) [unsupported_function],unsupported_function,strogatz p.295,true,1,x_0->u1; x_1->u2; x_2->u3; x_3->u4
62,4,Binocular rivalry model with adaptation (oscillations),2,1.0*x_0 - 1.0*x_1,surrogate,,1,u1|u2,,,strogatz p.295,true,1,x_0->u1; x_1->u2; x_2->u3; x_3->u4
62,4,Binocular rivalry model with adaptation (oscillations),3,-x_2 + 1/(0.246596963941606*exp(0.89*x_0 + 0.4*x_3) + 1),surrogate,,,u3,1/(0.246596963941606*exp(0.89*u1)*exp(0.4*u4) + 1) [unsupported_function],unsupported_function,strogatz p.295,true,1,x_0->u1; x_1->u2; x_2->u3; x_3->u4
62,4,Binocular rivalry model with adaptation (oscillations),4,1.0*x_2 - 1.0*x_3,surrogate,,1,u3|u4,,,strogatz p.295,true,1,x_0->u1; x_1->u2; x_2->u3; x_3->u4
63,4,SEIR infection model (proportions),1,-0.28*x_0*x_2,exact,3,3,u1*u3,,,https://de.wikipedia.org/wiki/SEIR-Modell,true,1,x_0->u1; x_1->u2; x_2->u3; x_3->u4
63,4,SEIR infection model (proportions),2,0.28*x_0*x_2 - 0.47*x_1,exact,3,3,u2|u1*u3,,,https://de.wikipedia.org/wiki/SEIR-Modell,true,1,x_0->u1; x_1->u2; x_2->u3; x_3->u4
63,4,SEIR infection model (proportions),3,0.47*x_1 - 0.3*x_2,exact,3,1,u2|u3,,,https://de.wikipedia.org/wiki/SEIR-Modell,true,1,x_0->u1; x_1->u2; x_2->u3; x_3->u4
63,4,SEIR infection model (proportions),4,0.3*x_2,exact,3,1,u3,,,https://de.wikipedia.org/wiki/SEIR-Modell,true,1,x_0->u1; x_1->u2; x_2->u3; x_3->u4
