system_representability,metric,condition,initial_condition_set,system_dim,n_cells,value_q05,value_q10,value_q25,value_q50,value_q75,value_q90,value_q95,stage_caps,eq_final_stages
surrogate,final_stage,pretune_off,2,1,51,2.5,4,5,5,5,5,5,[5],[5]
surrogate,final_stage,pretune_off,2,2,57,4.8,5,5,5,5,5,5,"[null,null]","[5,5]"
surrogate,final_stage,pretune_off,2,3,18,4.85,5,5,5,5,5,5,"[null,null,null]","[5,5,5]"
surrogate,final_stage,pretune_off,2,4,3,5,5,5,5,5,5,5,"[null,null,null,null]","[5,5,5,5]"
surrogate,final_stage,pretune_on,1,1,51,3,4,5,5,5,5,5,[5],[5]
surrogate,final_stage,pretune_on,1,2,57,5,5,5,5,5,5,5,"[null,null]","[5,5]"
surrogate,final_stage,pretune_on,1,3,18,4.7,5,5,5,5,5,5,"[null,null,null]","[5,5,5]"
surrogate,final_stage,pretune_on,1,4,3,5,5,5,5,5,5,5,"[null,null,null,null]","[5,5,5,5]"
surrogate,final_stage,pretune_on,2,1,51,2.5,4,5,5,5,5,5,[5],[5]
surrogate,final_stage,pretune_on,2,2,57,4.8,5,5,5,5,5,5,"[null,null]","[5,5]"
surrogate,final_stage,pretune_on,2,3,18,4,4.7,5,5,5,5,5,"[null,null,null]","[5,5,5]"
surrogate,final_stage,pretune_on,2,4,3,5,5,5,5,5,5,5,"[null,null,null,null]","[5,5,5,5]"
surrogate,n_levels,pretune_off,1,1,51,30,30,30,30,30,30,30,,
surrogate,n_levels,pretune_off,1,2,57,30,30,30,30,30,30,30,,
surrogate,n_levels,pretune_off,1,3,18,30,30,30,30,30,30,30,,
surrogate,n_levels,pretune_off,1,4,3,30,30,30,30,30,30,30,,
surrogate,n_levels,pretune_off,2,1,51,30,30,30,30,30,30,30,,
surrogate,n_levels,pretune_off,2,2,57,30,30,30,30,30,30,30,,
surrogate,n_levels,pretune_off,2,3,18,30,30,30,30,30,30,30,,
surrogate,n_levels,pretune_off,2,4,3,30,30,30,30,30,30,30,,
surrogate,n_levels,pretune_on,1,1,51,30,30,30,30,30,30,30,,
surrogate,n_levels,pretune_on,1,2,57,30,30,30,30,30,30,30,,
surrogate,n_levels,pretune_on,1,3,18,30,30,30,30,30,30,30,,
surrogate,n_levels,pretune_on,1,4,3,30,30,30,30,30,30,30,,
surrogate,n_levels,pretune_on,2,1,51,30,30,30,30,30,30,30,,
surrogate,n_levels,pretune_on,2,2,57,30,30,30,30,30,30,30,,
surrogate,n_levels,pretune_on,2,3,18,30,30,30,30,30,30,30,,
surrogate,n_levels,pretune_on,2,4,3,30,30,30,30,30,30,30,,
surrogate,total_loss_evals,pretune_off,1,1,51,93873.5,107303,154852.5,572604,1170969,1442336,2027831.5,,
surrogate,total_loss_evals,pretune_off,1,2,57,485915,552340,2068738,2638515,3260164,5245459.2,6004575.8,,
surrogate,total_loss_evals,pretune_off,1,3,18,2124021.55,2265125.7,2469183.75,3495154.5,5897571.25,6082300.3,6201221.15,,
surrogate,total_loss_evals,pretune_off,1,4,3,3832879.6,3852078.2,3909674,4005667,4044092,4067147,4074832,,
surrogate,total_loss_evals,pretune_off,2,1,51,52879.5,61580,103192.5,329613,1164600,1496203,1968278.5,,
surrogate,total_loss_evals,pretune_off,2,2,57,353263.6,456122.2,948768,1804049,2470835,5152457.8,6297893.8,,
surrogate,total_loss_evals,pretune_off,2,3,18,933260.25,1086978.1,1516820,3386797.5,4600808.5,6779155.5,7187386.95,,
surrogate,total_loss_evals,pretune_off,2,4,3,4258395.4,4334916.8,4564481,4947088,5192323,5339464,5388511,,
surrogate,total_loss_evals,pretune_on,1,1,51,34035,36186,127480,451546,1715955,2462060,2747751.5,,
surrogate,total_loss_evals,pretune_on,1,2,57,96769.8,117913.6,564293,2683316,4237850,5818139.8,5961232.2,,
surrogate,total_loss_evals,pretune_on,1,3,18,310270.8,530729.4,1220948.25,1915678,5116013.5,5564620.4,6067645.1,,
surrogate,total_loss_evals,pretune_on,1,4,3,1049007,1058577,1087287,1135137,2825439.5,3839621,4177681.5,,
surrogate,total_loss_evals,pretune_on,2,1,51,21640,24510,44640,728806,1899280,4842210,5644505,,
surrogate,total_loss_evals,pretune_on,2,2,57,80753.2,90066,362836,2029054,3756628,5635989.4,6377627.6,,
surrogate,total_loss_evals,pretune_on,2,3,18,330645.25,384014.6,680691.5,3218535.5,5599445.5,6703608.3,7449749.75,,
surrogate,total_loss_evals,pretune_on,2,4,3,1634215.5,1660601,1739757.5,1871685,2159753.5,2332594.6,2390208.3,,
surrogate,total_ode_solves,pretune_off,1,1,51,93873.5,107303,154852.5,572604,1170969,1442336,2027831.5,,
surrogate,total_ode_solves,pretune_off,1,2,57,485915,552340,2068738,2638515,3260164,5245459.2,6004575.8,,
surrogate,total_ode_solves,pretune_off,1,3,18,2124021.55,2265125.7,2469183.75,3495154.5,5897571.25,6082300.3,6201221.15,,
surrogate,total_ode_solves,pretune_off,1,4,3,3832879.6,3852078.2,3909674,4005667,4044092,4067147,4074832,,
surrogate,total_ode_solves,pretune_off,2,1,51,52879.5,61580,103192.5,329613,1164600,1496203,1968278.5,,
surrogate,total_ode_solves,pretune_off,2,2,57,353263.6,456122.2,948768,1804049,2470835,5152457.8,6297893.8,,
surrogate,total_ode_solves,pretune_off,2,3,18,933260.25,1086978.1,1516820,3386797.5,4600808.5,6779155.5,7187386.95,,
surrogate,total_ode_solves,pretune_off,2,4,3,4258395.4,4334916.8,4564481,4947088,5192323,5339464,5388511,,
surrogate,total_ode_solves,pretune_on,1,1,51,34035,36186,127480,451546,1715955,2462060,2747751.5,,
surrogate,total_ode_solves,pretune_on,1,2,57,96769.8,117913.6,564293,2683316,4237850,5818139.8,5961232.2,,
surrogate,total_ode_solves,pretune_on,1,3,18,310270.8,530729.4,1220948.25,1915678,5116013.5,5564620.4,6067645.1,,
surrogate,total_ode_solves,pretune_on,1,4,3,1049007,1058577,1087287,1135137,2825439.5,3839621,4177681.5,,
surrogate,total_ode_solves,pretune_on,2,1,51,21640,24510,44640,728806,1899280,4842210,5644505,,
surrogate,total_ode_solves,pretune_on,2,2,57,80753.2,90066,362836,2029054,3756628,5635989.4,6377627.6,,
surrogate,total_ode_solves,pretune_on,2,3,18,330645.25,384014.6,680691.5,3218535.5,5599445.5,6703608.3,7449749.75,,
surrogate,total_ode_solves,pretune_on,2,4,3,1634215.5,1660601,1739757.5,1871685,2159753.5,2332594.6,2390208.3,,
surrogate,total_parameter_fits,pretune_off,1,1,51,250,330,410,410,410,450,460,,
surrogate,total_parameter_fits,pretune_off,1,2,57,410,410,430,490,570,610,610,,
surrogate,total_parameter_fits,pretune_off,1,3,18,447,450,490,540,590,610,610,,
surrogate,total_parameter_fits,pretune_off,1,4,3,530,530,530,530,550,562,566,,
surrogate,total_parameter_fits,pretune_off,2,1,51,210,330,410,410,410,410,410,,
surrogate,total_parameter_fits,pretune_off,2,2,57,394,410,410,510,570,610,610,,
surrogate,total_parameter_fits,pretune_off,2,3,18,427,430,430,540,605,610,610,,
surrogate,total_parameter_fits,pretune_off,2,4,3,532,534,540,550,550,550,550,,
surrogate,total_parameter_fits,pretune_on,1,1,51,250,330,410,410,410,430,440,,
surrogate,total_parameter_fits,pretune_on,1,2,57,410,410,410,470,510,518,530,,
surrogate,total_parameter_fits,pretune_on,1,3,18,427,430,435,470,610,610,610,,
surrogate,total_parameter_fits,pretune_on,1,4,3,510,510,510,510,530,542,546,,
surrogate,total_parameter_fits,pretune_on,2,1,51,210,330,410,410,410,410,410,,
surrogate,total_parameter_fits,pretune_on,2,2,57,394,410,410,430,490,530,530,,
surrogate,total_parameter_fits,pretune_on,2,3,18,410,424,430,550,610,610,610,,
surrogate,total_parameter_fits,pretune_on,2,4,3,474,478,490,510,510,510,510,,
