aggregation_level,condition,initial_condition_set,system_dim,system_id,system_name,n_cells,support_match_count,support_match_rate,share_system_rate_ge_0_0,share_system_rate_ge_0_333333,share_system_rate_ge_0_666667,share_system_rate_ge_1_0
system,pretune_on,2,2,38,Van der Pol oscillator (simplified form from Strogatz),3,0,0,,,,
system,pretune_on,2,3,54,Lorenz equations in well-behaved periodic regime,3,0,0,,,,
system,pretune_on,2,3,55,Lorenz equations in complex periodic regime,3,0,0,,,,
system,pretune_on,2,3,56,Lorenz equations standard parameters (chaotic),3,0,0,,,,
system,pretune_on,2,3,61,Chen-Lee attractor; system for gyro motion with feedback control of rigid body (chaotic),3,0,0,,,,
system,pretune_on,2,4,63,SEIR infection model (proportions),3,0,0,,,,
dimension,pretune_off,1,1,,,18,18,1,1,1,1,1
dimension,pretune_off,1,2,,,27,15,0.555555555556,1,0.555555555556,0.555555555556,0.555555555556
dimension,pretune_off,1,3,,,12,0,0,1,0,0,0
dimension,pretune_off,1,4,,,3,0,0,1,0,0,0
dimension,pretune_off,2,1,,,18,12,0.666666666667,1,0.666666666667,0.666666666667,0.666666666667
dimension,pretune_off,2,2,,,27,15,0.555555555556,1,0.666666666667,0.555555555556,0.444444444444
dimension,pretune_off,2,3,,,12,0,0,1,0,0,0
dimension,pretune_off,2,4,,,3,0,0,1,0,0,0
dimension,pretune_on,1,1,,,18,15,0.833333333333,1,0.833333333333,0.833333333333,0.833333333333
dimension,pretune_on,1,2,,,27,14,0.518518518519,1,0.555555555556,0.555555555556,0.444444444444
dimension,pretune_on,1,3,,,12,0,0,1,0,0,0
dimension,pretune_on,1,4,,,3,0,0,1,0,0,0
dimension,pretune_on,2,1,,,18,12,0.666666666667,1,0.666666666667,0.666666666667,0.666666666667
dimension,pretune_on,2,2,,,27,9,0.333333333333,1,0.333333333333,0.333333333333,0.333333333333
dimension,pretune_on,2,3,,,12,0,0,1,0,0,0
dimension,pretune_on,2,4,,,3,0,0,1,0,0,0
